category,kegg_drug,pubchem_cid,ligand_title,kegg_target,uniprot_id,target_uniprot_count,target_yamanishi_degree,ligand_yamanishi_degree,label,ligand_MolecularWeight,ligand_MonoisotopicMass,ligand_TPSA,ligand_Complexity,ligand_Charge,ligand_HBondDonorCount,ligand_HBondAcceptorCount,ligand_RotatableBondCount,ligand_HeavyAtomCount,ligand_IsotopeAtomCount,ligand_AtomStereoCount,ligand_DefinedAtomStereoCount,ligand_UndefinedAtomStereoCount,ligand_BondStereoCount,ligand_DefinedBondStereoCount,ligand_UndefinedBondStereoCount,ligand_CovalentUnitCount,ligand_Volume3D,ligand_FeatureCount3D,ligand_FeatureAcceptorCount3D,ligand_FeatureDonorCount3D,ligand_FeatureAnionCount3D,ligand_FeatureCationCount3D,ligand_FeatureRingCount3D,ligand_FeatureHydrophobeCount3D,ligand_ConformerModelRMSD3D,ligand_EffectiveRotorCount3D,ligand_ConformerCount3D,ligand_XLogP,ligand_MW,target_length,target_mass,target_degree_up
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:2582,Q14376,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,348,38282,1
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:2597,P04406,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,335,36053,30
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:2746,P00367,2,2,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,558,61398,2
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:2936,P00390,2,3,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,522,56257,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3028,Q99714,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,261,26923,6
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3033,Q16836,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,314,34294,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3292,P14061,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,328,34950,1
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3295,P51659,3,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,736,79686,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:349565,Q96T66,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,252,28322,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3615,P12268,2,2,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,514,55805,8
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3939,P00338,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,332,36689,7
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:3945,P07195,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,334,36638,9
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:4190,P40925,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,334,36426,1
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:4200,P23368,1,2,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,584,65444,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:55811,Q96PN6,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,1610,187149,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:5860,P09417,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,244,25790,0
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:64802,Q9HAN9,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,279,31932,17
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:6652,Q00796,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,357,38325,1
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:1610,P14920,2,2,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,347,39474,2
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:1728,P15559,1,3,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,274,30868,3
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2639,Q92947,1,1,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,438,48127,0
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:27034,Q9UKU7,1,2,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,415,45070,1
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2936,P00390,2,3,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,522,56257,0
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:34,P11310,2,1,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,421,46588,1
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:35,P16219,2,1,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,412,44297,1
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:3712,P26440,3,1,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,426,46651,2
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:4129,P27338,1,20,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,520,58763,20
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:4835,P16083,2,2,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,231,25919,6
enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:7498,P47989,1,2,14,1,785.5,785.1571354,356,1560,0,9,20,13,53,0,7,7,0,0,0,0,1,,,,,,,,,,,0,-5,785.5,1333,146424,1
enzyme,D00007,33032,L-Glutamic Acid,hsa:2746,P00367,2,2,2,1,147.13,147.0531578,101,145,0,3,5,4,10,0,1,1,0,0,0,0,1,108.5,8,4,1,2,1,0,0,0.6,4,10,-3.7,147.13,558,61398,2
enzyme,D00007,33032,L-Glutamic Acid,hsa:31,Q13085,1,3,2,1,147.13,147.0531578,101,145,0,3,5,4,10,0,1,1,0,0,0,0,1,108.5,8,4,1,2,1,0,0,0.6,4,10,-3.7,147.13,2346,265554,9
enzyme,D00014,124886,Glutathione,hsa:2936,P00390,2,3,2,1,307.33,307.0838064,160,389,0,6,8,9,20,0,2,2,0,0,0,0,1,222.1,12,6,3,2,1,0,0,1,11,10,-4.5,307.33,522,56257,0
enzyme,D00014,124886,Glutathione,hsa:2950,P09211,2,1,2,1,307.33,307.0838064,160,389,0,6,8,9,20,0,2,2,0,0,0,0,1,222.1,12,6,3,2,1,0,0,1,11,10,-4.5,307.33,210,23356,25
enzyme,D00018,54670067,L-Ascorbic Acid,hsa:5033,P13674,1,1,2,1,176.12,176.032088,107,232,0,4,6,2,12,0,2,2,0,0,0,0,1,120.9,8,3,4,0,0,1,0,0.6,2.4,9,-1.6,176.12,534,61049,2
enzyme,D00021,6140,L-Phenylalanine,hsa:10056,Q9NSD9,1,1,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,589,66116,3
enzyme,D00021,6140,L-Phenylalanine,hsa:10667,O95363,1,1,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,451,52357,70
enzyme,D00021,6140,L-Phenylalanine,hsa:2193,Q9Y285,2,1,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,508,57564,5
enzyme,D00021,6140,L-Phenylalanine,hsa:5053,P00439,1,1,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,452,51862,0
enzyme,D00021,6140,L-Phenylalanine,hsa:6898,P17735,2,2,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,454,50399,6
enzyme,D00021,6140,L-Phenylalanine,hsa:7054,P07101,2,2,6,1,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,-1.5,165.19,528,58600,11
enzyme,D00027,1174,Uracil,hsa:31,Q13085,1,3,2,1,112.09,112.0272774,58.2,161,0,2,2,0,8,0,0,0,0,0,0,0,1,81.1,5,2,2,0,0,1,0,0.4,0,1,-1.1,112.09,2346,265554,9
enzyme,D00029,171548,Biotin,hsa:31,Q13085,1,3,9,1,244.31,244.0881636,104,298,0,3,4,5,16,0,3,3,0,0,0,0,1,182.8,9,3,2,1,0,2,1,0.8,6,10,0.3,244.31,2346,265554,9
enzyme,D00029,171548,Biotin,hsa:32,O00763,1,1,9,1,244.31,244.0881636,104,298,0,3,4,5,16,0,3,3,0,0,0,0,1,182.8,9,3,2,1,0,2,1,0.8,6,10,0.3,244.31,2458,276541,3
enzyme,D00029,171548,Biotin,hsa:5091,P11498,1,1,9,1,244.31,244.0881636,104,298,0,3,4,5,16,0,3,3,0,0,0,0,1,182.8,9,3,2,1,0,2,1,0.8,6,10,0.3,244.31,1178,129634,3
enzyme,D00029,171548,Biotin,hsa:5095,P05165,1,4,9,1,244.31,244.0881636,104,298,0,3,4,5,16,0,3,3,0,0,0,0,1,182.8,9,3,2,1,0,2,1,0.8,6,10,0.3,244.31,728,80059,2
enzyme,D00029,171548,Biotin,hsa:56922,Q96RQ3,2,1,9,1,244.31,244.0881636,104,298,0,3,4,5,16,0,3,3,0,0,0,0,1,182.8,9,3,2,1,0,2,1,0.8,6,10,0.3,244.31,725,80473,2
enzyme,D00032,6274,L-Histidine,hsa:3035,P12081,1,1,3,1,155.15,155.0694765,92,151,0,3,4,3,11,0,1,1,0,0,0,0,1,117.2,8,2,2,1,2,1,0,0.6,3,10,-3.2,155.15,509,57411,1
enzyme,D00032,6274,L-Histidine,hsa:3067,P19113,1,1,3,1,155.15,155.0694765,92,151,0,3,4,3,11,0,1,1,0,0,0,0,1,117.2,8,2,2,1,2,1,0,0.6,3,10,-3.2,155.15,662,74141,1
enzyme,D00035,145742,L-Proline,hsa:2058,P07814,1,1,4,1,115.13,115.0633285,49.3,103,0,2,3,1,8,0,1,1,0,0,0,0,1,89,6,2,1,1,1,1,0,0.4,2,4,-2.5,115.13,1512,170591,7
enzyme,D00035,145742,L-Proline,hsa:29920,Q96C36,2,1,4,1,115.13,115.0633285,49.3,103,0,2,3,1,8,0,1,1,0,0,0,0,1,89,6,2,1,1,1,1,0,0.4,2,4,-2.5,115.13,320,33637,0
enzyme,D00035,145742,L-Proline,hsa:5831,P32322,1,1,4,1,115.13,115.0633285,49.3,103,0,2,3,1,8,0,1,1,0,0,0,0,1,89,6,2,1,1,1,1,0,0.4,2,4,-2.5,115.13,319,33361,3
enzyme,D00036,936,Nicotinamide,hsa:683,Q10588,1,1,1,1,122.12,122.0480128,56,114,0,1,2,1,9,0,0,0,0,0,0,0,1,95.2,4,2,1,0,0,1,0,0.4,1,2,-0.4,122.12,318,35724,0
enzyme,D00037,311,Citric Acid,hsa:100,P00813,2,2,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,363,40764,1
enzyme,D00037,311,Citric Acid,hsa:1360,P15086,1,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,417,47368,1
enzyme,D00037,311,Citric Acid,hsa:1431,O75390,1,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,466,51712,0
enzyme,D00037,311,Citric Acid,hsa:231,P15121,1,12,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,316,35853,1
enzyme,D00037,311,Citric Acid,hsa:4191,P40926,3,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,338,35503,0
enzyme,D00037,311,Citric Acid,hsa:4282,P14174,2,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,115,12476,5
enzyme,D00037,311,Citric Acid,hsa:635,Q93088,2,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,406,44998,0
enzyme,D00037,311,Citric Acid,hsa:7371,Q9BZX2,1,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,261,29299,2
enzyme,D00037,311,Citric Acid,hsa:8654,O76074,1,20,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,875,99985,2
enzyme,D00037,311,Citric Acid,hsa:9955,Q9Y663,1,1,11,1,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,-1.7,192.12,406,44900,0
enzyme,D00038,243,Benzoic Acid,hsa:1610,P14920,2,2,2,1,122.12,122.0367794,37.3,103,0,1,2,1,9,0,0,0,0,0,0,0,1,98.2,4,2,0,1,0,1,0,0.4,1,2,1.9,122.12,347,39474,2
enzyme,D00038,243,Benzoic Acid,hsa:25824,P30044,1,4,2,1,122.12,122.0367794,37.3,103,0,1,2,1,9,0,0,0,0,0,0,0,1,98.2,4,2,0,1,0,1,0,0.4,1,2,1.9,122.12,214,22086,5
enzyme,D00039,6287,L-Valine,hsa:27034,Q9UKU7,1,2,7,1,117.15,117.0789786,63.3,90,0,2,3,2,8,0,1,1,0,0,0,0,1,94.4,6,2,1,1,1,0,1,0.4,2,8,-2.3,117.15,415,45070,1
enzyme,D00039,6287,L-Valine,hsa:5095,P05165,1,4,7,1,117.15,117.0789786,63.3,90,0,2,3,2,8,0,1,1,0,0,0,0,1,94.4,6,2,1,1,1,0,1,0.4,2,8,-2.3,117.15,728,80059,2
enzyme,D00039,6287,L-Valine,hsa:586,P54687,1,3,7,1,117.15,117.0789786,63.3,90,0,2,3,2,8,0,1,1,0,0,0,0,1,94.4,6,2,1,1,1,0,1,0.4,2,8,-2.3,117.15,386,42966,8
enzyme,D00041,6288,L-Threonine,hsa:5095,P05165,1,4,3,1,119.12,119.0582431,83.6,93,0,3,4,2,8,0,2,2,0,0,0,0,1,88.9,7,3,2,1,1,0,0,0.4,2,9,-2.9,119.12,728,80059,2
enzyme,D00041,6288,L-Threonine,hsa:6897,P26639,1,1,3,1,119.12,119.0582431,83.6,93,0,3,4,2,8,0,2,2,0,0,0,0,1,88.9,7,3,2,1,1,0,0,0.4,2,9,-2.9,119.12,723,83435,4
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:10747,O00187,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,686,75702,10
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:11202,O60259,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,260,28048,13
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:1200,O14773,1,1,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,563,61248,15
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:1215,P23946,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,247,27325,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:1675,P00746,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,253,27033,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:1803,P27487,1,1,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,766,88279,14
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2098,P10768,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,282,31463,2
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2155,P08709,1,3,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,466,51594,1
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2158,P00740,1,3,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,461,51778,2
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2159,P00742,2,5,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,488,54732,3
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2160,P03951,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,625,70109,2
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:2161,P00748,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,615,67792,3
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:28972,Q9Y6A9,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,169,18298,2
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:3001,P12544,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,262,28999,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:3002,P10144,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,247,27716,2
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:354,P07288,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,261,28741,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:3816,P06870,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,262,28890,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:3817,P20151,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,261,28671,0
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:3818,P03952,2,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,638,71343,11
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:43,P22303,1,23,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,614,67796,3
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:5045,P09958,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,794,86678,7
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:5327,P00750,1,2,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,562,62917,1
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:5328,P00749,1,3,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,431,48523,5
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:5340,P00747,1,3,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,810,90569,14
enzyme,D00043,5936,Diisopropyl Fluorophosphate,hsa:5444,P27169,1,1,51,1,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,1.2,184.15,355,39731,0
