category,kegg_drug,pubchem_cid,kegg_target,chosen_uniprot,chosen_affinity,rank_1_based,total_ranked_uniprots,rank_percentile,higher_ranked_targets,higher_ranked_yamanishi_known_positives,higher_ranked_apparent_false_positives,higher_ranked_apparent_fp_fraction
enzyme,D00021,6140,hsa:7054,P07101,-7.2957,50,7470,0.006693440428380187,49,0,49,1.0
enzyme,D00027,1174,hsa:31,Q13085,-4.3104,4768,7535,0.6327803583278035,4767,0,4767,1.0
enzyme,D00029,171548,hsa:5091,P11498,-6.2937,1296,7403,0.17506416317709037,1295,0,1295,1.0
enzyme,D00029,171548,hsa:5095,P05165,-4.2792,6853,7403,0.9257057949479941,6852,2,6850,0.9997081144191476
enzyme,D00029,171548,hsa:56922,Q96RQ3,-4.7474,6267,7403,0.8465486964744022,6266,1,6265,0.9998404085541015
enzyme,D00032,6274,hsa:3035,P12081,-5.767,513,7409,0.06924011337562425,512,0,512,1.0
enzyme,D00032,6274,hsa:3067,P19113,-4.9011,3678,7409,0.4964232689971656,3677,1,3676,0.9997280391623606
enzyme,D00035,145742,hsa:2058,P07814,-5.5532,75,7473,0.010036130068245684,74,0,74,1.0
enzyme,D00035,145742,hsa:29920,Q96C36,-4.6498,2201,7473,0.2945269637361167,2200,1,2199,0.9995454545454545
enzyme,D00035,145742,hsa:5831,P32322,-3.8714,5850,7473,0.7828181453231634,5849,2,5847,0.9996580612070439
enzyme,D00036,936,hsa:683,Q10588,-5.4088,1356,7473,0.18145323163388197,1355,0,1355,1.0
enzyme,D00037,311,hsa:100,P00813,-5.5346,2205,7532,0.29275092936802977,2204,6,2198,0.9972776769509982
enzyme,D00037,311,hsa:1360,P15086,-5.8364,1210,7532,0.16064790228359002,1209,3,1206,0.9975186104218362
enzyme,D00037,311,hsa:1431,O75390,-5.4882,2365,7532,0.3139936271906532,2364,8,2356,0.9966159052453468
enzyme,D00037,311,hsa:231,P15121,-6.6748,95,7532,0.012612851832182687,94,0,94,1.0
enzyme,D00037,311,hsa:4191,P40926,-6.3448,311,7532,0.04129049389272438,310,2,308,0.9935483870967742
enzyme,D00037,311,hsa:4282,P14174,-4.6482,5686,7532,0.7549123738714817,5685,9,5676,0.9984168865435357
enzyme,D00037,311,hsa:635,Q93088,-5.761,1409,7532,0.18706850770047795,1408,5,1403,0.9964488636363636
enzyme,D00037,311,hsa:7371,Q9BZX2,-6.374,286,7532,0.03797132235793946,285,1,284,0.9964912280701754
enzyme,D00037,311,hsa:8654,O76074,-5.5019,2316,7532,0.3074880509824748,2315,7,2308,0.9969762419006479
enzyme,D00037,311,hsa:9955,Q9Y663,-5.8232,1238,7532,0.1643653744025491,1237,4,1233,0.9967663702506063
enzyme,D00038,243,hsa:1610,P14920,-6.2145,407,7535,0.05401459854014599,406,0,406,1.0
enzyme,D00038,243,hsa:25824,P30044,-4.9002,4772,7535,0.6333112143331121,4771,1,4770,0.9997904003353595
enzyme,D00039,6287,hsa:27034,Q9UKU7,-4.4815,2951,7473,0.39488826441857355,2950,1,2949,0.9996610169491525
enzyme,D00039,6287,hsa:5095,P05165,-3.2931,6914,7473,0.9251973772246755,6913,2,6911,0.9997106900043397
enzyme,D00039,6287,hsa:586,P54687,-5.2791,165,7473,0.022079486150140507,164,0,164,1.0
enzyme,D00041,6288,hsa:5095,P05165,-3.2,6961,7473,0.9314866854007762,6960,1,6959,0.9998563218390805
enzyme,D00041,6288,hsa:6897,P26639,-4.4908,2663,7473,0.3563495249565101,2662,0,2662,1.0
enzyme,D00043,5936,hsa:10747,O00187,-4.647,2886,7473,0.3861902850260939,2885,21,2864,0.9927209705372617
enzyme,D00043,5936,hsa:11202,O60259,-4.1967,4832,7473,0.6465944065301753,4831,35,4796,0.9927551231629063
enzyme,D00043,5936,hsa:1200,O14773,-4.7136,2574,7473,0.3444399839421919,2573,19,2554,0.9926156237854644
enzyme,D00043,5936,hsa:1215,P23946,-4.3445,4196,7473,0.5614880235514519,4195,30,4165,0.9928486293206198
enzyme,D00043,5936,hsa:1675,P00746,-4.7157,2563,7473,0.3429680181988492,2562,18,2544,0.9929742388758782
enzyme,D00043,5936,hsa:1803,P27487,-4.7467,2423,7473,0.3242339087381239,2422,16,2406,0.9933938893476466
enzyme,D00043,5936,hsa:2098,P10768,-4.7962,2232,7473,0.29867523083099157,2231,15,2216,0.9932765575974899
enzyme,D00043,5936,hsa:2155,P08709,-4.3237,4278,7473,0.5724608590927338,4277,31,4246,0.9927519289221417
enzyme,D00043,5936,hsa:2158,P00740,-3.3811,6942,7473,0.9289441991168206,6941,36,6905,0.9948134274600202
enzyme,D00043,5936,hsa:2159,P00742,-5.1081,1128,7473,0.1509433962264151,1127,9,1118,0.9920141969831411
enzyme,D00043,5936,hsa:2160,P03951,-5.2416,774,7473,0.10357286230429547,773,5,768,0.9935316946959897
enzyme,D00043,5936,hsa:2161,P00748,-4.5833,3146,7473,0.4209822025960123,3145,22,3123,0.9930047694753578
enzyme,D00043,5936,hsa:28972,Q9Y6A9,-4.2346,4668,7473,0.6246487354476113,4667,34,4633,0.9927148060852796
enzyme,D00043,5936,hsa:3001,P12544,-5.1047,1140,7473,0.1525491770373344,1139,10,1129,0.9912203687445127
enzyme,D00043,5936,hsa:3002,P10144,-4.2955,4382,7473,0.5863776261207012,4381,32,4349,0.9926957315681352
enzyme,D00043,5936,hsa:354,P07288,-4.8557,1992,7473,0.26655961461260536,1991,14,1977,0.9929683576092416
enzyme,D00043,5936,hsa:3816,P06870,-4.395,3965,7473,0.5305767429412552,3964,28,3936,0.992936427850656
enzyme,D00043,5936,hsa:3817,P20151,-4.4451,3749,7473,0.5016726883447076,3748,26,3722,0.9930629669156884
enzyme,D00043,5936,hsa:3818,P03952,-5.4237,405,7473,0.0541951023685267,404,2,402,0.995049504950495
enzyme,D00043,5936,hsa:43,P22303,-5.5077,291,7473,0.03894018466479326,290,1,289,0.996551724137931
enzyme,D00043,5936,hsa:5045,P09958,-5.0085,1434,7473,0.1918908069048575,1433,13,1420,0.9909281228192603
enzyme,D00043,5936,hsa:5327,P00750,-5.1239,1091,7473,0.14599223872608055,1090,8,1082,0.9926605504587156
enzyme,D00043,5936,hsa:5328,P00749,-4.657,2833,7473,0.37909808644453363,2832,20,2812,0.9929378531073446
enzyme,D00043,5936,hsa:5340,P00747,-5.2672,715,7473,0.09567777331727552,714,4,710,0.9943977591036415
enzyme,D00043,5936,hsa:5476,P10619,-5.2248,825,7473,0.11039743075070253,824,6,818,0.9927184466019418
enzyme,D00043,5936,hsa:54878,Q6V1X1,-5.7758,82,7473,0.010972835541281948,81,0,81,1.0
enzyme,D00043,5936,hsa:5547,P42785,-5.1788,955,7473,0.12779338953566172,954,7,947,0.9926624737945493
enzyme,D00043,5936,hsa:5550,P48147,-5.0715,1240,7473,0.16593068379499532,1239,11,1228,0.9911218724778047
enzyme,D00043,5936,hsa:5646,P35030,-4.4045,3913,7473,0.5236183594272715,3912,27,3885,0.9930981595092024
enzyme,D00043,5936,hsa:5650,P49862,-4.3696,4071,7473,0.5447611401043757,4070,29,4041,0.9928746928746929
enzyme,D00043,5936,hsa:5651,P98073,-4.4556,3707,7473,0.49605245550649,3706,24,3682,0.9935240151106314
enzyme,D00043,5936,hsa:5657,P24158,-4.7362,2468,7473,0.3302555867790713,2467,17,2450,0.993109039319011
enzyme,D00043,5936,hsa:590,P06276,-5.0509,1298,7473,0.17369195771443866,1297,12,1285,0.9907478797224364
enzyme,D00043,5936,hsa:64499,P20231,-4.4553,3708,7473,0.4961862705740666,3707,25,3682,0.9932560021580793
enzyme,D00043,5936,hsa:6768,Q9Y5Y6,-4.563,3234,7473,0.4327579285427539,3233,23,3210,0.9928858645221157
enzyme,D00043,5936,hsa:8192,Q16740,-4.2777,4463,7473,0.5972166465944065,4462,33,4429,0.9926042133572389
enzyme,D00043,5936,hsa:91039,Q86TI2,-5.3241,597,7473,0.07988759534323565,596,3,593,0.9949664429530202
enzyme,D00049,938,hsa:23475,Q15274,-4.5916,4702,7473,0.6291984477452162,4701,1,4700,0.9997872793022761
enzyme,D00049,938,hsa:4837,P40261,-5.3396,1450,7473,0.19403184798608322,1449,0,1449,1.0
enzyme,D00050,493570,hsa:55312,Q969G6,-11.0514,1,7283,0.0001373060551970342,0,0,0,0.0
enzyme,D00050,493570,hsa:645,P30043,-7.5954,1806,7283,0.24797473568584374,1805,1,1804,0.9994459833795014
enzyme,D00052,6049,hsa:3416,P14735,-6.7529,114,7523,0.01515352917718995,113,0,113,1.0
enzyme,D00052,6049,hsa:4311,P08473,-6.2915,457,7523,0.06074704240329656,456,1,455,0.9978070175438597
enzyme,D00054,135398641,hsa:4860,P00491,-7.3245,1112,7394,0.15039220989991886,1111,0,1111,1.0
enzyme,D00055,967,hsa:1723,Q02127,-7.5378,3,7470,0.00040160642570281126,2,0,2,1.0
enzyme,D00065,6306,hsa:36,P45954,-4.9406,1555,7473,0.2080824300816272,1554,2,1552,0.9987129987129987
enzyme,D00065,6306,hsa:38,P24752,-4.5257,3568,7473,0.4774521611133414,3567,3,3564,0.9991589571068125
enzyme,D00065,6306,hsa:5095,P05165,-3.4917,6856,7473,0.9174361033052322,6855,4,6851,0.999416484318016
enzyme,D00065,6306,hsa:586,P54687,-5.1642,778,7473,0.1041081225746019,777,0,777,1.0
enzyme,D00065,6306,hsa:587,O15382,-4.963,1465,7473,0.19603907399973236,1464,1,1463,0.9993169398907104
enzyme,D00070,135398658,hsa:8836,Q92820,-7.7376,3496,7346,0.4759052545603049,3495,0,3495,1.0
enzyme,D00094,444795,hsa:216,P00352,-9.2901,167,7523,0.02219859098763791,166,0,166,1.0
enzyme,D00094,444795,hsa:8854,O94788,-8.0998,1070,7523,0.14223049315432673,1069,1,1068,0.9990645463049579
enzyme,D00097,338,hsa:239,P18054,-6.2009,810,7535,0.1074983410749834,809,4,805,0.9950556242274413
enzyme,D00097,338,hsa:240,P09917,-6.406,420,7535,0.055739880557398806,419,3,416,0.9928400954653938
enzyme,D00097,338,hsa:247,O15296,-5.6608,2635,7535,0.34970139349701396,2634,6,2628,0.9977220956719818
enzyme,D00097,338,hsa:3551,O14920,-7.2763,9,7535,0.0011944260119442602,8,1,7,0.875
enzyme,D00097,338,hsa:4048,P09960,-6.527,286,7535,0.03795620437956204,285,2,283,0.9929824561403509
enzyme,D00097,338,hsa:4353,P05164,-7.4258,6,7535,0.0007962840079628401,5,0,5,1.0
enzyme,D00097,338,hsa:5742,P23219,-5.9622,1497,7535,0.1986728599867286,1496,5,1491,0.9966577540106952
enzyme,D00103,444305,hsa:51205,Q9NPH0,-5.2925,1291,7573,0.17047405255513007,1290,0,1290,1.0
enzyme,D00103,444305,hsa:52,P24666,-4.9552,2523,7573,0.3331572692460055,2522,2,2520,0.9992069785884219
enzyme,D00103,444305,hsa:54,P13686,-4.4595,4637,7573,0.6123068797042124,4636,3,4633,0.9993528904227783
enzyme,D00103,444305,hsa:55,P15309,-5.2351,1460,7573,0.1927901756239271,1459,1,1458,0.9993145990404386
enzyme,D00109,2244,hsa:5742,P23219,-6.6697,390,7535,0.051758460517584606,389,0,389,1.0
enzyme,D00109,2244,hsa:5743,P35354,-6.3441,949,7535,0.12594558725945587,948,1,947,0.9989451476793249
enzyme,D00118,156391,hsa:239,P18054,-7.672,1083,7529,0.14384380395802895,1082,3,1079,0.9972273567467652
enzyme,D00118,156391,hsa:240,P09917,-7.5616,1271,7529,0.16881391951122326,1270,5,1265,0.9960629921259843
enzyme,D00118,156391,hsa:247,O15296,-7.6186,1162,7529,0.1543365652809138,1161,4,1157,0.9965546942291128
enzyme,D00118,156391,hsa:4048,P09960,-10.0563,2,7529,0.0002656395271616417,1,0,1,1.0
enzyme,D00118,156391,hsa:5742,P23219,-7.7943,922,7529,0.1224598220215168,921,1,920,0.998914223669924
enzyme,D00118,156391,hsa:5743,P35354,-7.7024,1038,7529,0.13786691459689202,1037,2,1035,0.9980713596914176
enzyme,D00120,1548887,hsa:3551,O14920,-8.9466,420,7387,0.05685664004331935,419,0,419,1.0
enzyme,D00120,1548887,hsa:5742,P23219,-8.649,648,7387,0.08772167320969271,647,2,645,0.9969088098918083
enzyme,D00120,1548887,hsa:5743,P35354,-8.6493,647,7387,0.08758630025720861,646,1,645,0.9984520123839009
enzyme,D00125,36462,hsa:7153,P11388,-9.8522,419,7485,0.05597862391449566,418,0,418,1.0
enzyme,D00125,36462,hsa:7155,Q02880,-8.7411,1689,7485,0.2256513026052104,1688,1,1687,0.9994075829383886
enzyme,D00126,3672,hsa:1559,P11712,-6.6196,1932,7532,0.25650557620817843,1931,5,1926,0.9974106680476437
enzyme,D00126,3672,hsa:239,P18054,-7.2809,662,7532,0.08789166224110462,661,2,659,0.9969742813918305
enzyme,D00126,3672,hsa:240,P09917,-6.8192,1461,7532,0.19397238449283058,1460,4,1456,0.9972602739726028
enzyme,D00126,3672,hsa:3906,P00709,-5.0912,6554,7532,0.8701540095592141,6553,6,6547,0.9990843888295438
enzyme,D00126,3672,hsa:4048,P09960,-8.8581,9,7532,0.0011949017525225705,8,0,8,1.0
enzyme,D00126,3672,hsa:5742,P23219,-7.5483,410,7532,0.05443441317047265,409,1,408,0.9975550122249389
enzyme,D00126,3672,hsa:5743,P35354,-7.1697,814,7532,0.10807222517259692,813,3,810,0.996309963099631
enzyme,D00127,54676228,hsa:5742,P23219,-7.9314,1892,7227,0.2617960426179604,1891,1,1890,0.9994711792702274
enzyme,D00127,54676228,hsa:5743,P35354,-9.3774,156,7227,0.021585720215857203,155,0,155,1.0
enzyme,D00130,3059,hsa:5742,P23219,-8.0542,1231,7466,0.16488079292794,1230,1,1229,0.9991869918699187
enzyme,D00130,3059,hsa:5743,P35354,-8.3063,814,7466,0.10902759174926333,813,0,813,1.0
enzyme,D00131,3117,hsa:1571,P05181,-4.9852,358,7533,0.04752422673569627,357,1,356,0.9971988795518207
enzyme,D00131,3117,hsa:1621,P09172,-4.1356,2744,7533,0.36426390548254345,2743,9,2734,0.996718920889537
enzyme,D00131,3117,hsa:216,P00352,-5.0644,269,7533,0.035709544670118144,268,0,268,1.0
enzyme,D00131,3117,hsa:217,P05091,-4.9245,426,7533,0.056551174830744726,425,2,423,0.9952941176470588
enzyme,D00131,3117,hsa:218,P30838,-4.45,1508,7533,0.20018584893136865,1507,8,1499,0.9946914399469144
enzyme,D00131,3117,hsa:219,P30837,-4.6801,860,7533,0.11416434355502456,859,4,855,0.9953434225844005
enzyme,D00131,3117,hsa:223,P49189,-4.8129,591,7533,0.07845479888490642,590,3,587,0.9949152542372881
enzyme,D00131,3117,hsa:224,P51648,-4.5651,1162,7533,0.15425461303597504,1161,5,1156,0.9956933677863911
enzyme,D00131,3117,hsa:444,Q12797,-4.4638,1463,7533,0.19421213328023365,1462,7,1455,0.9952120383036935
enzyme,D00131,3117,hsa:501,P49419,-4.5538,1193,7533,0.1583698393734236,1192,6,1186,0.9949664429530202
enzyme,D00132,3825,hsa:239,P18054,-8.5066,808,7525,0.10737541528239203,807,1,806,0.9987608426270136
enzyme,D00132,3825,hsa:240,P09917,-8.3502,1019,7525,0.13541528239202658,1018,2,1016,0.9980353634577603
enzyme,D00132,3825,hsa:247,O15296,-8.2981,1080,7525,0.14352159468438538,1079,4,1075,0.9962928637627433
enzyme,D00132,3825,hsa:3906,P00709,-5.9095,6685,7525,0.8883720930232558,6684,6,6678,0.9991023339317774
enzyme,D00132,3825,hsa:4048,P09960,-10.1721,25,7525,0.0033222591362126247,24,0,24,1.0
enzyme,D00132,3825,hsa:5742,P23219,-8.3222,1053,7525,0.13993355481727573,1052,3,1049,0.997148288973384
enzyme,D00132,3825,hsa:5743,P35354,-8.2195,1189,7525,0.15800664451827243,1188,5,1183,0.9957912457912458
enzyme,D00136,3559,hsa:10327,P14550,-8.1274,1960,7303,0.2683828563603998,1959,5,1954,0.9974476773864216
enzyme,D00136,3559,hsa:1576,P08684,-9.0746,739,7303,0.10119129125017116,738,4,734,0.994579945799458
enzyme,D00136,3559,hsa:1645,Q04828,-10.3958,83,7303,0.011365192386690402,82,1,81,0.9878048780487805
enzyme,D00136,3559,hsa:231,P15121,-10.3145,95,7303,0.013008352731754073,94,2,92,0.9787234042553191
enzyme,D00136,3559,hsa:51181,Q7Z4W1,-9.7982,263,7303,0.036012597562645486,262,3,259,0.9885496183206107
enzyme,D00136,3559,hsa:57016,O60218,-10.5861,43,7303,0.0058879912364781595,42,0,42,1.0
enzyme,D00139,4114,hsa:10858,Q9Y6A2,-7.031,1621,7573,0.21404991416875743,1620,20,1600,0.9876543209876543
enzyme,D00139,4114,hsa:1544,P05177,-9.5235,3,7573,0.0003961441964875215,2,1,1,0.5
enzyme,D00139,4114,hsa:1545,Q16678,-10.1071,1,7573,0.00013204806549584047,0,0,0,0.0
enzyme,D00139,4114,hsa:1548,P11509,-7.6806,503,7573,0.06642017694440776,502,7,495,0.9860557768924303
enzyme,D00139,4114,hsa:1551,P24462,-7.1649,1311,7573,0.17311501386504688,1310,19,1291,0.9854961832061069
enzyme,D00139,4114,hsa:1553,Q16696,-8.0751,202,7573,0.026673709230159777,201,3,198,0.9850746268656716
enzyme,D00139,4114,hsa:1555,P20813,-7.4523,801,7573,0.10577050046216822,800,10,790,0.9875
enzyme,D00139,4114,hsa:1557,P33261,-7.5067,718,7573,0.09481051102601347,717,8,709,0.9888423988842399
enzyme,D00139,4114,hsa:1558,P10632,-8.2425,134,7573,0.017694440776442624,133,2,131,0.9849624060150376
enzyme,D00139,4114,hsa:1559,P11712,-7.4904,750,7573,0.09903604912188037,749,9,740,0.9879839786381842
enzyme,D00139,4114,hsa:1562,P33260,-3.8557,7391,7573,0.975967252079757,7390,24,7366,0.9967523680649526
enzyme,D00139,4114,hsa:1565,P10635,-7.7277,456,7573,0.060213917866103264,455,6,449,0.9868131868131869
enzyme,D00139,4114,hsa:1571,P05181,-7.7322,451,7573,0.05955367753862406,450,5,445,0.9888888888888889
enzyme,D00139,4114,hsa:1576,P08684,-7.2182,1209,7573,0.15964611118447114,1208,18,1190,0.9850993377483444
enzyme,D00139,4114,hsa:1577,P20815,-6.9225,1870,7573,0.2469298824772217,1869,22,1847,0.9882289994649546
enzyme,D00139,4114,hsa:1581,P22680,-7.0024,1676,7573,0.22131255777102865,1675,21,1654,0.9874626865671642
enzyme,D00139,4114,hsa:1582,Q9UNU6,-7.286,1076,7573,0.14208371847352436,1075,15,1060,0.986046511627907
enzyme,D00139,4114,hsa:1583,P05108,-7.2447,1158,7573,0.15291165984418328,1157,16,1141,0.986171132238548
enzyme,D00139,4114,hsa:1584,P15538,-7.294,1062,7573,0.1402350455565826,1061,14,1047,0.9868049010367578
enzyme,D00139,4114,hsa:1585,P19099,-7.3532,975,7573,0.12874686385844447,974,11,963,0.9887063655030801
enzyme,D00139,4114,hsa:1586,P05093,-7.3102,1036,7573,0.13680179585369073,1035,12,1023,0.9884057971014493
enzyme,D00139,4114,hsa:1588,P11511,-7.2371,1171,7573,0.1546282846956292,1170,17,1153,0.9854700854700855
enzyme,D00139,4114,hsa:1589,P08686,-7.8669,320,7573,0.04225538095866896,319,4,315,0.987460815047022
enzyme,D00139,4114,hsa:1595,Q16850,-7.2996,1056,7573,0.13944275716360754,1055,13,1042,0.9876777251184834
enzyme,D00139,4114,hsa:5740,Q16647,-6.6136,2703,7573,0.35692592103525683,2702,23,2679,0.9914877868245744
enzyme,D00141,3715,hsa:239,P18054,-9.0026,209,7385,0.02830060934326337,208,1,207,0.9951923076923077
enzyme,D00141,3715,hsa:240,P09917,-8.9042,252,7385,0.034123222748815164,251,2,249,0.9920318725099602
enzyme,D00141,3715,hsa:247,O15296,-8.46,545,7385,0.07379823967501693,544,3,541,0.9944852941176471
enzyme,D00141,3715,hsa:4048,P09960,-9.0133,204,7385,0.027623561272850372,203,0,203,1.0
enzyme,D00141,3715,hsa:5742,P23219,-7.8429,1368,7385,0.18524035206499662,1367,5,1362,0.9963423555230432
enzyme,D00141,3715,hsa:5743,P35354,-8.3126,687,7385,0.0930264048747461,686,4,682,0.9941690962099126
enzyme,D00142,126941,hsa:1719,P00374,-9.1985,449,7253,0.06190541844753895,448,0,448,1.0
enzyme,D00145,5578,hsa:1719,P00374,-7.3065,458,7461,0.06138587320734486,457,0,457,1.0
enzyme,D00151,4044,hsa:5742,P23219,-8.0002,947,7466,0.1268416822930619,946,1,945,0.9989429175475687
enzyme,D00151,4044,hsa:5743,P35354,-8.1574,749,7466,0.1003214572729708,748,0,748,1.0
enzyme,D00153,13769,hsa:1588,P11511,-9.2117,704,7572,0.09297411516111992,703,0,703,1.0
enzyme,D00155,439693,hsa:100,P00813,-6.4329,2903,7318,0.39669308554249794,2902,0,2902,1.0
enzyme,D00160,564,hsa:10747,O00187,-4.8253,993,7471,0.1329139338776603,992,9,983,0.9909274193548387
enzyme,D00160,564,hsa:11202,O60259,-4.0591,4554,7471,0.6095569535537412,4553,25,4528,0.9945091148693169
enzyme,D00160,564,hsa:11330,Q99895,-4.3307,3208,7471,0.4293936554678089,3207,19,3188,0.9940754599314
enzyme,D00160,564,hsa:1215,P23946,-4.0717,4475,7471,0.598982733235176,4474,24,4450,0.9946356727760394
enzyme,D00160,564,hsa:1675,P00746,-4.7729,1180,7471,0.15794405032793468,1179,10,1169,0.991518235793045
enzyme,D00160,564,hsa:1991,P08246,-5.0925,331,7471,0.04430464462588676,330,3,327,0.990909090909091
enzyme,D00160,564,hsa:2155,P08709,-4.2787,3453,7471,0.4621871235443716,3452,21,3431,0.9939165701042874
enzyme,D00160,564,hsa:2158,P00740,-3.0692,7073,7471,0.9467273457368491,7072,29,7043,0.9958993212669683
enzyme,D00160,564,hsa:2159,P00742,-5.2337,161,7471,0.021549993307455495,160,0,160,1.0
enzyme,D00160,564,hsa:2160,P03951,-5.016,465,7471,0.06224066390041494,464,4,460,0.9913793103448276
enzyme,D00160,564,hsa:2161,P00748,-4.9724,574,7471,0.07683041092223264,573,5,568,0.9912739965095986
enzyme,D00160,564,hsa:28972,Q9Y6A9,-3.7606,5797,7471,0.7759336099585062,5796,27,5769,0.9953416149068323
enzyme,D00160,564,hsa:3001,P12544,-4.5058,2337,7471,0.3128095301833757,2336,17,2319,0.992722602739726
enzyme,D00160,564,hsa:3002,P10144,-4.0019,4804,7471,0.643019676080846,4803,26,4777,0.9945867166354362
enzyme,D00160,564,hsa:354,P07288,-4.2174,3755,7471,0.5026100923571142,3754,22,3732,0.9941395844432606
enzyme,D00160,564,hsa:3816,P06870,-4.6171,1803,7471,0.24133315486547985,1802,15,1787,0.9916759156492786
enzyme,D00160,564,hsa:3817,P20151,-4.2864,3421,7471,0.4579038950609022,3420,20,3400,0.9941520467836257
enzyme,D00160,564,hsa:3818,P03952,-4.7418,1292,7471,0.17293535002007762,1291,12,1279,0.9907048799380326
enzyme,D00160,564,hsa:5045,P09958,-4.6997,1454,7471,0.19461919421764154,1453,13,1440,0.9910529938059188
enzyme,D00160,564,hsa:5327,P00750,-5.1413,261,7471,0.034935082318297415,260,1,259,0.9961538461538462
enzyme,D00160,564,hsa:5328,P00749,-4.6734,1568,7471,0.20987819569000135,1567,14,1553,0.9910657306955967
