pubchem_cid,target_count
122824,4
5360696,4
170321,4
5284603,4
52542,4
38911,4
2796,4
876,4
1989,4
62857,4
4075,4
636399,4
3291,4
61100,4
54900,4
5757,4
3759,4
259331,4
3748,4
5073,4
71401,4
3957,4
77997,4
3478,4
493570,4
19610426,4
3052775,4
34521,4
33630,4
104741,4
5503,4
4235,4
163727,4
9373,4
6446,4
8366,4
23724784,4
2170,3
4771,3
2266,3
3033053,3
441308,3
6288,3
208850,3
5833,3
3476,3
6436002,3
40973,3
243,3
5702160,3
24843,3
107952,3
13769,3
4754,3
189729,3
5280723,3
5280793,3
5312125,3
54454,3
11224,3
4201,3
5282415,3
5362376,3
50963,3
9878,3
2662,3
1547484,3
6274,3
5462346,3
65324,3
5280795,3
5281078,3
5362115,3
4594,3
65999,3
5280453,3
166589,3
441258,3
6081,3
62937,3
383414,3
60781,3
28620,3
5994,3
21121303,3
33032,3
3038222,3
2249,3
6100,3
53359,3
441401,3
5583,2
439693,2
3308,2
151166,2
2083,2
119442,2
60846,2
44093,2
3394,2
92727,2
2375,2
216457,2
5280427,2
6047,2
71355,2
23667962,2
5578,2
6917815,2
636397,2
5509,2
23724775,2
5746,2
4409,2
23678981,2
54384,2
4237,2
92163,2
4421,2
135398513,2
5282387,2
5282183,2
36462,2
33572,2
82148,2
5853,2
54670067,2
54892,2
4909,2
5720,2
156422,2
16129675,2
23675769,2
43815,2
5311181,2
16760658,2
636362,2
441313,2
61367,2
5282408,2
5484727,2
23677829,2
667467,2
54690031,2
5910,2
6850814,2
5388961,2
5790,2
66383,2
6014,2
5485193,2
5282379,2
5018304,2
636380,2
5463984,2
5147,2
9034,2
54677470,2
1549008,2
51082,2
5090,2
23724781,2
23681059,2
126941,2
65494,2
5281037,2
5741,2
2179,2
34312,2
3324,2
91725,2
5878,2
129791,2
6013,2
3475,2
2764,2
4659569,2
23667642,2
115366,2
71320,2
166558,2
5362129,2
3397,2
27522,2
6883,2
5311071,2
9051,2
5905,2
443958,2
54676228,2
23663403,2
23724511,2
30751,2
54675768,2
150311,2
159271,2
610479,2
6918235,2
3059,2
4911,2
1549120,2
71793,2
5282381,2
5965,2
3339,2
1174,2
441350,2
2097,2
54677971,2
8248,2
2157,2
5983,2
135409453,2
2244,2
4158,2
54686350,2
119607,2
441334,2
3035241,2
68553,2
135398658,2
5359,2
358641,2
4993,2
65329,2
2541,2
65981,2
31703,2
4037,2
31640,2
23663959,2
65348,2
54889,2
23667301,2
5663,2
6256,2
107807,2
2723885,2
4616,2
5282193,2
23674731,2
6917956,2
135398740,2
667476,2
5282474,2
65326,2
107979,2
3342,2
1981,2
119828,2
4044,2
5556,2
15895902,2
5497196,2
5526,2
15130,2
9570076,2
5360515,2
5281055,2
135400182,2
208910,2
23706216,2
10457278,2
35329,2
2479,2
9571003,2
5311309,2
5281077,2
5281104,2
3373,2
64747,2
229455,2
5870,2
11065,2
68617,2
23706210,2
10547,2
4189,2
5991,2
5362118,2
37392,2
2910,2
123619,2
56329,2
3032285,2
158781,2
68551,2
3673,2
4091,2
5312153,2
3033702,2
3365,2
443873,2
77991,2
56801,2
41693,2
4614,2
3749,2
3033690,2
4020,2
4510,2
5281081,2
135398741,2
107994,2
39859,2
27661,2
6420009,2
6918047,2
5281004,2
9869929,2
11954366,2
10649,2
84003,2
135398748,2
656684,2
62956,2
159324,2
5152,2
2284,2
135398641,2
5284566,2
5807,2
54891,2
135413520,2
5852,2
5362123,2
3295,2
204101,2
5280954,2
71992,2
5665,2
4066,2
6917719,2
4595,2
5754,2
441278,2
443939,2
5282455,1
135398735,1
64922,1
3033637,1
5282479,1
169569,1
443872,1
6914273,1
967,1
657348,1
60490,1
6279,1
16759173,1
60953,1
2973,1
60875,1
8280,1
151170,1
31100,1
5282226,1
5756,1
107706,1
5282451,1
3899,1
8288,1
5311035,1
5280360,1
157838,1
60594,1
62886,1
11954368,1
441336,1
132228,1
3395,1
160024,1
6726,1
157920,1
66250,1
4906,1
444030,1
656609,1
4888,1
5282469,1
23724780,1
3292,1
445639,1
53232,1
5493444,1
444025,1
63030,1
11954363,1
441325,1
9642,1
2724385,1
5281074,1
441361,1
67356,1
467825,1
5281068,1
31101,1
11954221,1
5824,1
8246,1
5311221,1
23663992,1
6253,1
2482,1
60961,1
20279,1
44561,1
10660,1
5311064,1
5962,1
5468,1
6215,1
11954370,1
441358,1
5278,1
5724,1
34633,1
5311225,1
16078,1
66064,1
3086651,1
4171,1
54746,1
5464201,1
1613,1
104152,1
5280483,1
23679527,1
4753,1
3001055,1
8307,1
5282419,1
656846,1
121586,1
6918078,1
247839,1
6917793,1
1676,1
23663985,1
135462830,1
65327,1
190816,1
1967,1
15209,1
444972,1
864,1
14677,1
656583,1
60822,1
216322,1
167446,1
3762,1
5284472,1
23683779,1
5342,1
2723754,1
936,1
3151,1
444031,1
10133,1
5311068,1
4763,1
460612,1
133264,1
26757,1
135401907,1
9574101,1
66062,1
7550,1
3033332,1
2756,1
3105,1
24244,1
21155870,1
9681,1
5702063,1
9651,1
5997,1
8955,1
5576,1
38945,1
6230,1
69568,1
5452,1
6420040,1
444020,1
