reranked_rank_1_based,pubchem_cid,ligand_title,uniprot_id,known_target_yamanishi,known_target_bindingdb,known_target_any_supported,hit_value_score,affinity,raw_affinity_rank_1_based,rank_percentile,reverse_rank_percentile,affinity_zscore_within_ligand,affinity_robust_zscore_within_ligand,affinity_gap_to_next_weaker,affinity_gap_to_previous_stronger,total_ranked_uniprots
53,1794427,ChlorogenicAcid,P18054,0,0,0,0.12459053520968753,-8.1213,1456,0.19343696027633853,0.8066958947787963,-0.8420417205516629,-1.4619891198214534,0.0005000000000006111,0.000700000000000145,7527
54,1794427,ChlorogenicAcid,P08913,0,0,0,0.12388039897604973,-8.8419,466,0.061910455692839116,0.9382223993622958,-1.4333029939642463,-2.4671502301576247,0.000600000000000378,0.0008999999999996788,7527
55,1794427,ChlorogenicAcid,P09110,0,0,0,0.1199788098949085,-7.0691,3782,0.5024578185199947,0.4976750365351401,0.021301482174841995,0.005719068210350419,9.999999999976694e-05,0.00010000000000065512,7527
56,1794427,ChlorogenicAcid,P08686,0,0,0,0.11970929138329675,-9.0759,287,0.038129400823701344,0.9620034542314335,-1.62530290789506,-2.7935555865532167,0.0003000000000010772,0.0002999999999993008,7527
57,1794427,ChlorogenicAcid,Q9H1D0,0,0,0,0.11816899392624061,-7.7418,2169,0.28816261458748504,0.7119702404676498,-0.5306572447536124,-0.9326265866927044,0.00039999999999995595,0.000300000000000189,7527
58,1794427,ChlorogenicAcid,Q9Y233,0,0,0,0.11793450048933295,-8.8904,423,0.056197688322040654,0.9439351667330942,-1.473097847919991,-2.5348026224020086,0.0007999999999999119,0.000700000000000145,7527
59,1794427,ChlorogenicAcid,P22303,0,0,0,0.11782540414464973,-8.7461,569,0.07559452637172845,0.9245383286834064,-1.3546979009959899,-2.333519319291394,0.00140000000000029,0.00019999999999953388,7527
60,1794427,ChlorogenicAcid,P32297,0,0,0,0.11683354314273345,-7.1749,3495,0.46432841769629335,0.5358044373588415,-0.06550873532037234,-0.14186078951039216,0.000300000000000189,0.0012999999999996348,7527
61,1794427,ChlorogenicAcid,P04150,0,0,0,0.11524715319587142,-8.9956,341,0.04530357380098313,0.9548292812541517,-1.5594157579435877,-2.68154554331148,0.00019999999999953388,0.0031999999999996476,7527
62,1794427,ChlorogenicAcid,Q01973,0,0,0,0.10998379029337788,-8.5286,832,0.11053540587219343,0.8895974491829414,-1.176236442534657,-2.0301297252057484,0.0005000000000006111,0.0007999999999999119,7527
63,1794427,ChlorogenicAcid,P21728,0,0,0,0.10804305495747268,-8.5303,828,0.11000398565165405,0.8901288694034808,-1.1776313137042396,-2.0325010461710153,0.000700000000000145,0.000600000000000378,7527
64,1794427,ChlorogenicAcid,P14416,0,0,0,0.0980255988680624,-8.1363,1429,0.18984987378769763,0.8102829812674373,-0.8543494073421002,-1.482912540103223,0.001100000000000989,0.0004999999999988347,7527
65,1794427,ChlorogenicAcid,P28223,0,0,0,0.09573904174555695,-8.8604,454,0.06031619503122094,0.939816660023914,-1.448482474339118,-2.492955781838472,0.0005000000000006111,9.999999999976694e-05,7527
66,1794427,ChlorogenicAcid,P21817,0,0,0,0.0946080149157142,-7.874,1885,0.2504317789291883,0.7497010761259466,-0.6391289909999953,-1.1170316641093596,0.0,0.000300000000000189,7527
67,1794427,ChlorogenicAcid,P00915,0,0,0,0.0941028182850911,-7.38,2988,0.39697090474292546,0.6031619503122094,-0.2337958393682777,-0.427953689496443,9.999999999976694e-05,0.001000000000000334,7527
68,1794427,ChlorogenicAcid,P21860,0,0,0,0.09216645671999446,-7.3916,2960,0.3932509631991497,0.6068818918559851,-0.2433137838195492,-0.44413446784767824,0.000300000000000189,0.00019999999999953388,7527
69,1794427,ChlorogenicAcid,P15121,0,1,1,0.09196380321222933,-8.8891,426,0.056596253487445194,0.9435366015676896,-1.4720311817314862,-2.5329892593109213,0.0004999999999988347,0.0004000000000008441,7527
70,1794427,ChlorogenicAcid,P41595,0,0,0,0.09123059296345189,-8.8713,444,0.05898764447987246,0.9411452105752623,-1.4574260600735016,-2.50816013390989,0.0011999999999989797,9.999999999976694e-05,7527
71,1794427,ChlorogenicAcid,O00305,0,0,0,0.090522674067302,-6.6214,5100,0.6775607811877242,0.3225720738674106,0.38864490724674433,0.6302134188868735,0.0,9.999999999976694e-05,7527
72,1794427,ChlorogenicAcid,P11712,0,0,0,0.09042127224092852,-8.1144,1468,0.1950312209379567,0.8051016341171782,-0.8363801846280621,-1.45236434649184,0.000700000000000145,0.0005000000000006111,7527
73,1794427,ChlorogenicAcid,P37088,0,0,0,0.08763681871821397,-7.6569,2364,0.3140693503387804,0.6860635047163545,-0.4609957375197408,-0.8142000278978944,0.00039999999999995595,0.0002999999999993008,7527
74,1794427,ChlorogenicAcid,Q01668,0,0,0,0.08720136040970489,-7.865,1912,0.25401886541782914,0.7461139896373057,-0.6317443789257337,-1.104477611940299,0.00020000000000042206,9.999999999976694e-05,7527
75,1794427,ChlorogenicAcid,P27815,0,0,0,0.08645110158298648,-9.3396,152,0.020193968380496877,0.979938886674638,-1.8416720416709387,-3.161389315106711,0.00280000000000058,0.0006999999999983686,7527
76,1794427,ChlorogenicAcid,P23416,0,0,0,0.08528304418160176,-7.1379,3581,0.47575395243789026,0.5243789026172445,-0.03514977457062835,-0.09024968614869606,0.0,0.00140000000000029,7527
77,1794427,ChlorogenicAcid,O76083,0,0,0,0.08016166824473112,-8.8411,468,0.06217616580310881,0.937956689252026,-1.4326465840020899,-2.466034314409264,0.001300000000000523,0.00019999999999953388,7527
78,1794427,ChlorogenicAcid,P28335,0,0,0,0.07970432641235535,-8.0592,1563,0.20765245117576725,0.7924804038793676,-0.7910878972392554,-1.375366159854932,0.00020000000000131024,0.00039999999999906777,7527
79,1794427,ChlorogenicAcid,Q15878,0,0,0,0.07746821891028408,-8.4809,899,0.11943669456622824,0.8806961604889066,-1.1370979985410674,-1.963593248709723,0.0008999999999996788,9.999999999976694e-05,7527
80,1794427,ChlorogenicAcid,P35367,0,0,0,0.07588335582831586,-6.8832,4308,0.5723395775209247,0.42779327753421015,0.17383474713098784,0.26502999023573653,0.00010000000000065512,0.00019999999999953388,7527
81,1794427,ChlorogenicAcid,P04818,0,0,0,0.07518778512538014,-8.4055,1005,0.1335193304105221,0.8666135246446127,-1.0752313596078051,-1.8584181894266987,0.0004000000000008441,0.001300000000000523,7527
82,1794427,ChlorogenicAcid,P54289,0,0,0,0.07290899046850276,-8.7981,510,0.06775607811877242,0.9323767769363625,-1.3973645485361703,-2.406053842934859,0.0007999999999999119,9.999999999976694e-05,7527
83,1794427,ChlorogenicAcid,P36544,0,0,0,0.07212753122173778,-7.2775,3251,0.43191178424339044,0.5682210708117443,-0.1496933129669597,-0.28497698423769,0.00019999999999953388,0.00020000000000042206,7527
84,1794427,ChlorogenicAcid,Q9UK17,0,0,0,0.0714872144377414,-7.8764,1879,0.24963464859837917,0.7504982064567557,-0.6410982208864656,-1.1203794113544434,0.00039999999999995595,0.00019999999999953388,7527
85,1794427,ChlorogenicAcid,P13569,0,0,0,0.069509450637729,-9.3997,134,0.017802577388069615,0.9823302776670653,-1.890984840077954,-3.245222485702329,0.000700000000000145,0.0030000000000001137,7527
86,1794427,ChlorogenicAcid,P08908,0,0,0,0.06912406911606311,-7.7799,2087,0.2772685000664275,0.7228643549887073,-0.5619187692013219,-0.985772074208397,9.999999999976694e-05,0.0008000000000008001,7527
87,1794427,ChlorogenicAcid,P11511,0,0,0,0.06677537268896669,-7.9993,1666,0.22133652185465658,0.7787963332004783,-0.7419392013227772,-1.2918119681964013,0.0015000000000000568,0.00039999999999995595,7527
88,1794427,ChlorogenicAcid,P22680,0,0,0,0.06409975427576925,-8.0734,1528,0.20300252424604756,0.7971303308090874,-0.8027391740675346,-1.3951736643883383,0.00039999999999906777,0.001100000000000989,7527
89,1794427,ChlorogenicAcid,P00533,0,0,0,0.06356181399180004,-7.2841,3238,0.43018466852663745,0.5699481865284974,-0.15510869515475165,-0.29418328916166786,0.0002999999999993008,0.00020000000000042206,7527
90,1794427,ChlorogenicAcid,P34969,0,0,0,0.06297958140500189,-8.6218,713,0.09472565431114655,0.9054072007439883,-1.2527082031259038,-2.1601339098898045,0.0004000000000008441,0.0011999999999989797,7527
91,1794427,ChlorogenicAcid,P18825,0,0,0,0.06192841309894725,-9.7545,44,0.005845622425933307,0.9942872326292015,-2.1821026582944194,-3.7401311201004335,0.0,0.0025999999999992696,7527
92,1794427,ChlorogenicAcid,P28702,0,0,0,0.06089577254307396,-6.8545,4395,0.5838979673176564,0.4162348877374784,0.19738345452335737,0.30506346770818826,0.001100000000000101,0.0011999999999998678,7527
93,1794427,ChlorogenicAcid,P43681,0,0,0,0.06059764277966503,-7.6059,2468,0.32788627607280457,0.6722465789823302,-0.4191496024322557,-0.7430603989398804,0.000300000000000189,0.00019999999999953388,7527
94,1794427,ChlorogenicAcid,Q13698,0,0,0,0.058322262853338365,-4.8633,7246,0.9626677295071078,0.037465125548027056,1.8311878503312045,3.0825777653787148,0.0027999999999996916,0.001100000000000101,7527
95,1794427,ChlorogenicAcid,Q9NY72,0,0,0,0.05828098887728137,-7.0301,3887,0.5164075993091537,0.48372525574598113,0.05330146782997736,0.0601199609429487,9.999999999976694e-05,0.000300000000000189,7527
96,1794427,ChlorogenicAcid,Q92736,0,0,0,0.05635118660264025,-8.2427,1245,0.16540454364288562,0.8347283114122492,-0.9416519323089309,-1.6313293346352344,9.999999999976694e-05,0.0005000000000006111,7527
97,1794427,ChlorogenicAcid,Q7Z4W1,0,0,0,0.05600162888054879,-9.3085,168,0.022319649262654444,0.9778132057924804,-1.8161541043920995,-3.1180080903891767,0.0005000000000006111,0.0010999999999992127,7527
98,1794427,ChlorogenicAcid,P15538,0,0,0,0.05534695674200577,-8.7404,577,0.07665736681280723,0.9234754882423276,-1.350020980015623,-2.3255684195843207,0.00019999999999953388,0.0007999999999999119,7527
99,1794427,ChlorogenicAcid,P05164,0,0,0,0.05502723006737598,-9.3011,170,0.02258535937292414,0.9775474956822107,-1.81008231224215,-3.107685869716837,0.0037000000000002586,0.006899999999999906,7527
100,1794427,ChlorogenicAcid,P54764,0,0,0,0.054695096319175046,-6.8397,4431,0.5886807493025109,0.4114521057526239,0.2095270388232551,0.32570790905286695,0.0006999999999992568,0.00039999999999995595,7527
101,1794427,ChlorogenicAcid,Q12809,0,0,0,0.05429690450195783,-8.3526,1089,0.14467915504184933,0.8554537000132855,-1.0318262508601987,-1.7846282605663286,0.002700000000000813,0.000700000000000145,7527
102,1794427,ChlorogenicAcid,O43497,0,0,0,0.053793936828737315,-7.6848,2302,0.30583233692041983,0.694300518134715,-0.4838880349499531,-0.8531175896219839,0.0,0.00019999999999953388,7527
103,1794427,ChlorogenicAcid,P51170,0,0,0,0.0526100267221096,-7.8476,1949,0.2589345024578185,0.7411983525973163,-0.6174674622488268,-1.080206444413447,0.0012999999999996348,0.0007999999999999119,7527
104,1794427,ChlorogenicAcid,Q13370,0,0,0,0.052529791875204936,-9.3229,162,0.021522518931845355,0.9786103361232895,-1.8279694837109188,-3.138094573859675,0.00280000000000058,0.000700000000000145,7527
105,1794427,ChlorogenicAcid,P25021,0,0,0,0.052225999445510596,-7.737,2183,0.2900225853593729,0.710110269695762,-0.526718784980673,-0.9259310922025391,0.001000000000000334,0.00019999999999953388,7527
106,1794427,ChlorogenicAcid,Q16740,0,0,0,0.05219142011265069,-6.4565,5551,0.7374784110535406,0.2626544440015942,0.5239474106962795,0.8602315525177848,0.00039999999999995595,9.999999999976694e-05,7527
107,1794427,ChlorogenicAcid,O14764,0,0,0,0.050406611653287255,-7.0791,3749,0.4980736017005447,0.5020592533545901,0.01309635764788359,-0.008229878644163009,0.00020000000000042206,0.0004999999999997229,7527
108,1794427,ChlorogenicAcid,O60658,0,0,0,0.05039489096072881,-9.6226,68,0.009034143749169657,0.9910987113059652,-2.0738770657838455,-3.5561445110894137,0.004100000000001103,0.0029000000000003467,7527
109,1794427,ChlorogenicAcid,P00352,0,0,0,0.05011168623969434,-8.7691,543,0.0721402949382224,0.9279925601169124,-1.3735696874079926,-2.3656018970567727,0.001200000000000756,0.0016999999999995907,7527
110,1794427,ChlorogenicAcid,P28472,0,0,0,0.04976232673904157,-7.3761,3007,0.3994951507904876,0.6006377042646472,-0.2305958408027643,-0.42251360022318346,0.0,9.999999999976694e-05,7527
111,1794427,ChlorogenicAcid,P17787,0,0,0,0.049153586855514915,-6.9432,4148,0.551082768699349,0.4490500863557858,0.12460399996924106,0.1813363091086622,9.999999999976694e-05,0.00019999999999953388,7527
112,1794427,ChlorogenicAcid,Q9UGM1,0,0,0,0.04790900743076985,-7.0316,3882,0.5157433240334794,0.4843895310216554,0.05207069915093364,0.05802761891477175,0.000300000000000189,9.999999999976694e-05,7527
113,1794427,ChlorogenicAcid,P23526,0,0,0,0.046348107917003584,-10.5546,7,0.0009299853859439352,0.9992028696691909,-2.8385946716963173,-4.856186357929978,0.040500000000001535,0.020199999999999108,7527
114,1794427,ChlorogenicAcid,P04035,0,0,0,0.046183513680207164,-7.3875,2968,0.3943138036402285,0.6058190514149063,-0.23994968276349632,-0.4384153996373278,0.000300000000000189,9.999999999976694e-05,7527
115,1794427,ChlorogenicAcid,P02708,0,0,0,0.04591135772500774,-7.5829,2516,0.3342633187192773,0.6658695363358575,-0.40027781602025286,-0.7109778211745021,0.0,0.0002999999999993008,7527
116,1794427,ChlorogenicAcid,Q08345,0,0,0,0.04466258506906926,-8.6594,667,0.08861432177494354,0.9115185332801913,-1.283559471347265,-2.2125819500627704,0.0010999999999992127,0.000700000000000145,7527
117,1794427,ChlorogenicAcid,Q15413,0,0,0,0.044320443526661785,-7.9953,1668,0.22160223196492626,0.7785306230902086,-0.7386571515119945,-1.2862323894545968,0.0005000000000006111,0.0024999999999995026,7527
118,1794427,ChlorogenicAcid,Q13639,0,0,0,0.043723561059262867,-8.2715,1212,0.16102032682343564,0.8391125282316992,-0.9652826909465697,-1.671502301576231,0.0004999999999988347,0.002700000000000813,7527
119,1794427,ChlorogenicAcid,P47712,0,0,0,0.04368963119508605,-8.3541,1087,0.14441344493157965,0.8557194101235552,-1.0330570195392426,-1.7867206025945055,0.0007999999999999119,0.0005999999999986017,7527
120,1794427,ChlorogenicAcid,O75762,0,0,0,0.04368065975649341,-7.5779,2529,0.33599043443603027,0.6641424206191046,-0.3961752537567733,-0.7040033477472448,0.0004999999999997229,0.000600000000000378,7527
121,1794427,ChlorogenicAcid,Q08499,0,0,0,0.04362215651239442,-8.5567,802,0.106549754218148,0.8935831008369869,-1.1992928424554075,-2.0693262658669265,0.000700000000000145,0.000600000000000378,7527
122,1794427,ChlorogenicAcid,P08922,0,0,0,0.043520977983026066,-8.5144,859,0.11412249236083433,0.8860103626943006,-1.1645851657063764,-2.01032222067234,0.001200000000000756,0.00019999999999953388,7527
123,1794427,ChlorogenicAcid,P48443,0,0,0,0.04342184965245079,-9.049,298,0.03959080643018467,0.9605420486249502,-1.6032311229175424,-2.7560329195145767,0.0019999999999988916,0.0035000000000007248,7527
124,1794427,ChlorogenicAcid,Q92731,0,0,0,0.04332278094407031,-8.3341,1124,0.14932908197156902,0.8508037730835658,-1.0166467704853257,-1.7588227088854786,0.0015000000000000568,0.000700000000000145,7527
125,1794427,ChlorogenicAcid,O15296,0,0,0,0.04331894345792325,-8.9412,385,0.05114919622691643,0.9489836588282184,-1.5147798805169375,-2.605663272422933,0.0004000000000008441,0.0022999999999999687,7527
126,1794427,ChlorogenicAcid,P05091,0,0,0,0.04173842254989147,-8.5056,870,0.11558389796731766,0.8845489570878172,-1.1573646561226527,-1.9980471474403678,0.0012999999999987466,0.002600000000001046,7527
127,1794427,ChlorogenicAcid,P30939,0,0,0,0.041509805865265065,-8.4641,926,0.12302378105486914,0.8771090740002657,-1.1233133893357783,-1.9401590179941421,0.0009999999999994458,0.0008999999999996788,7527
128,1794427,ChlorogenicAcid,Q9Y5Y9,0,0,0,0.04144148465224574,-7.4462,2826,0.3754483858110801,0.6246844692440547,-0.28811376373673886,-0.5202957176733161,0.001000000000000334,0.0,7527
129,1794427,ChlorogenicAcid,P17405,0,0,0,0.04105379226118262,-7.392,2958,0.39298525308888005,0.6071476019662548,-0.24364198880062748,-0.4446924257218587,0.00020000000000042206,0.00039999999999995595,7527
130,1794427,ChlorogenicAcid,P48167,0,0,0,0.040882401323457544,-6.9193,4217,0.5602497675036535,0.4398830875514813,0.14421424758867052,0.21467429209094738,0.0005999999999994898,0.0005000000000006111,7527
131,1794427,ChlorogenicAcid,Q12791,0,0,0,0.04031089522038868,-8.3283,1134,0.1506576325229175,0.8494752225322173,-1.011887798259691,-1.750732319709863,9.999999999976694e-05,0.000600000000000378,7527
