uniprot_id,top_hit_count,example_cids,example_affinities
Q8TDV5,2,3394;3672,-11.0402;-9.1671
P54098,2,3446;6081,-7.4014;-7.6616
O00204,2,3476;5328940,-13.2359;-11.2913
P09917,2,3562;42113,-5.7042;-6.8332
O95372,2,36708;610479,-10.2954;-10.209
Q9BTU6,2,37274;5070,-10.218;-8.5246
P06126,2,444025;5405,-10.385;-12.2406
Q8WXF7,2,444972;6288,-6.4921;-6.0946
P61769,2,445639;656631,-8.277;-12.3575
P29017,2,445639;656631,-8.277;-12.3575
P29016,2,445639;656631,-8.277;-12.3575
P00156,2,472335;54677971,-12.3113;-10.1387
P11509,2,4748;65981,-10.42;-11.013
P0AEX9,2,5281004;5282408,-11.1463;-13.4723
P54252,2,5282381;91430,-8.967;-12.3531
Q9NXA8,2,5311181;54676038,-10.2496;-12.2419
Q9H0F7,2,54670067;8280,-7.7318;-7.2101
P31358,2,5484727;9574343,-45.988;-18.7202
P29475,2,54891;6726,-11.1895;-10.8732
P17213,2,54900;71355,-12.6858;-11.7284
Q53GL7,2,5526;657298,-7.3667;-6.9617
P36639,2,5556;5584,-11.9718;-10.2906
Q6IMI6,2,5790;8366,-9.0573;-12.0951
Q15596,2,60953;6918003,-9.7933;-11.976
P00352,1,10133,-11.011
Q07075,1,104152,-7.9247
P23229,1,107807,-9.79
O95050,1,107952,-9.1245
P39086,1,10917,-6.3043
Q9HD43,1,11954368,-3.0564
P08172,1,121587,-10.4136
Q676U5,1,13221,-7.817
Q8IXL6,1,1349907,-4.8567
P49189,1,135398741,-9.4578
Q9NY61,1,135413523,-35.1588
P40261,1,14677,-10.1001
P28908,1,15130,-9.819
Q9Y2X0,1,15209,-11.4594
P45984,1,156422,-13.8592
O60500,1,158550,-201.837
Q8NBZ7,1,158781,-11.1067
O15294,1,1676,-7.9947
P51610,1,1676,-7.9947
Q9UDX4,1,174174,-9.7023
Q86V24,1,1967,-10.0447
Q9HCE0,1,1981,-20.3381
P30613,1,1986,-8.6462
Q99685,1,2083,-8.6803
Q9UH77,1,208850,-13.3288
P11488,1,216457,-18.4625
P19971,1,21850,-10.9018
Q5SQI0,1,2315,-11.5717
Q5JRA6,1,23667962,-39.678
P30291,1,23706210,-10.9176
P08949,1,23724898,-36.5586
P21917,1,2375,-11.5883
Q12884,1,2541,-12.1049
Q92598,1,2720,-9.2275
P35637,1,2769,-11.5131
Q9NV88,1,2796,-8.1257
Q9Y3M2,1,28620,-30.6333
Q9UIJ7,1,2910,-11.3248
P62508,1,3033053,-10.2305
Q14353,1,3033332,-8.588
Q15751,1,3038222,-12.9515
O00338,1,3059,-10.4971
Q9NR30,1,311,-7.4775
Q9NRG7,1,31100,-14.433
Q9NYF8,1,31703,-24.2059
Q9H611,1,33032,-6.9024
Q96JN0,1,3393,-17.5208
O14842,1,3397,-10.1567
P41743,1,34633,-10.7079
Q9NWM0,1,3478,-12.3207
G2XKQ0,1,35329,-23.4742
P48163,1,36462,-13.451
P33993,1,3647,-10.1538
Q16576,1,3763,-6.6347
P41279,1,3878,-9.3791
P51843,1,4011,-12.2596
Q6P988,1,4037,-9.8178
P41145,1,4066,-10.7695
Q8NHV1,1,4091,-6.9002
O14862,1,40973,-11.7288
Q92772,1,4174,-9.1086
P08236,1,441314,-8.1684
P48050,1,441336,-30.0873
P46597,1,441401,-10.5858
Q8WV16,1,441411,-8.2391
Q9UIQ6,1,443872,-11.8708
O75151,1,443873,-10.259
Q4VCS5,1,443939,-16.3374
P09496,1,443958,-43.1223
P62826,1,444305,-7.1042
Q16288,1,448537,-9.9244
P06276,1,4499,-9.5947
P11021,1,4510,-7.6888
Q9H7B4,1,4594,-10.2226
O00391,1,467825,-12.0183
O43173,1,4737,-8.7832
Q9ULV1,1,4823,-12.3564
Q8N257,1,4828,-17.7735
Q9NZN9,1,4911,-8.7569
P07333,1,4917,-10.2121
Q96A54,1,4927,-9.2982
Q969G6,1,493570,-11.0514
P36551,1,50963,-8.836
O14732,1,5206,-7.2878
Q96HA1,1,5280965,-26.9754
P41238,1,5281004,-11.1463
Q96IY4,1,5281055,-13.3307
Q9HAS3,1,5281068,-12.2267
P10747,1,5281077,-7.0235
P08686,1,5281104,-11.7894
Q13432,1,5282226,-11.0248
Q9UMX1,1,5282408,-13.4723
A6NED2,1,5282415,-55.6681
P43115,1,5284627,-9.557
Q9NWW6,1,5312153,-10.6463
Q5VTY9,1,5339,-11.601
P52895,1,5362115,-11.2062
Q13136,1,5362123,-16.6294
Q15637,1,5362471,-9.9014
Q9H237,1,54343,-10.2545
O43292,1,54384,-12.7807
O75581,1,54405,-12.1701
Q00169,1,5464201,-11.9089
P25929,1,54746,-10.8862
P36383,1,5497196,-101.298
O76054,1,5503,-10.7106
P00742,1,5560,-9.8814
Q9NQX4,1,5576,-6.9385
P32754,1,5665,-6.1418
P55263,1,5702063,-8.6045
Q9Y6D0,1,5717,-95.0263
P10275,1,5719,-11.5344
Q460N3,1,5724,-10.8552
P08235,1,5754,-11.0314
P49916,1,5795,-7.874
P05164,1,5962,-6.1005
Q9P2J5,1,5997,-12.4353
P04278,1,6013,-11.9901
P49759,1,6014,-9.5725
P19801,1,60692,-8.9836
Q9HAU4,1,60846,-10.8826
Q9NY33,1,60855,-9.5078
Q9NPC2,1,6100,-21.0883
O75521,1,61100,-9.8104
O76041,1,6215,-12.2526
P23526,1,6253,-9.0646
P42262,1,6274,-7.0113
P22894,1,6287,-6.06
O95363,1,62956,-11.0342
P05112,1,636362,-18.6378
P13612,1,6431825,-15.2786
P28845,1,64922,-11.1431
O95831,1,657348,-12.4385
P14780,1,66250,-7.1282
P31213,1,68546,-10.1756
P10619,1,6914273,-11.5392
Q08AH3,1,6917793,-10.6125
Q9BTZ2,1,6917815,-10.4952
Q9Y365,1,6918132,-8.6726
P08254,1,69568,-6.9879
P22680,1,72734318,-12.0641
P51648,1,77991,-8.59
P61916,1,9051,-11.7856
P23470,1,91725,-3.1383
Q8TE04,1,92163,-8.8481
P35270,1,9574101,-10.8807
P56282,1,967,-7.5976
