kegg_target,target_uniprots,missing_affinity_positive_pairs
hsa:5470,O14830,2
hsa:5475,O14829,2
hsa:5494,P35813,2
hsa:5495,O75688,2
hsa:5496,O15355;Q6IAU5,2
hsa:5499,P62136,2
hsa:5500,P62140;V9HW04,2
hsa:5501,P36873,2
hsa:5515,B3KUN1;P67775,2
hsa:5516,A0A140VJS0;P62714,2
hsa:5523,Q06190,2
hsa:5530,A0A0S2Z4C6;Q08209,2
hsa:5531,A0A024R625;P60510,2
hsa:5532,P16298,2
hsa:5533,P48454,2
hsa:5536,P53041,2
hsa:5537,A0A024R861;O00743,2
hsa:58190,Q9GZU7,2
hsa:63904,Q9H596,2
hsa:7957,O95278,2
hsa:80824,Q9BY84,2
hsa:84152,B3KVQ9;Q9UD71,2
hsa:8555,O60729,2
hsa:8556,Q59EF4;Q9UNH5,2
hsa:9150,Q9Y5B0,2
hsa:9647,P49593,2
hsa:2677,P38435,2
hsa:1504,P17538,2
hsa:18,P80404;X5D8S1,2
hsa:7173,P07202;Q502Y3;Q6P534,2
hsa:495,A0A384MR29;P20648;Q658V6,2
hsa:7015,O14746,2
hsa:4128,P21397;Q49A63;Q53YE7,2
hsa:13,P22760,2
hsa:3990,A6H8L5;P11150,2
hsa:80339,Q9NST1,2
hsa:9388,Q9Y5X9,2
hsa:5406,P16233,2
hsa:1432,Q16539,2
hsa:225689,Q8TD08,2
hsa:5594,P28482;Q499G7,2
hsa:5595,L7RXH5;P27361,2
hsa:5596,P31152,2
hsa:5597,Q16659,2
hsa:5598,Q13164,2
hsa:5599,P45983,2
hsa:5600,Q15759,2
hsa:5601,P45984,2
hsa:5602,P53779,2
hsa:5603,A0A024RD04;O15264,2
hsa:6300,P53778,2
hsa:1586,P05093;Q1HB44,2
hsa:140,P0DMS8,2
hsa:6915,P21731;Q05C92;Q0VAB0,2
hsa:57105,A4ZKH2;Q5KU17;Q9NS75,2
hsa:6752,P30874,2
hsa:1814,A8K8E4;P35462;X5D2G4,2
hsa:2916,O15303,2
hsa:3269,P35367,2
hsa:3360,A0A2D3FAF9;Q13639,2
hsa:3783,O15554,2
hsa:6261,P21817,2
hsa:6262,Q92736,2
hsa:6263,Q15413,2
hsa:169522,Q8TDN2,2
hsa:23630,Q9UJ90,2
hsa:23704,Q8WWG9,2
hsa:26251,Q9UJ96,2
hsa:27012,Q6PIU1,2
hsa:27094,Q9NPA1,2
hsa:2892,P42263;Q17R51,2
hsa:2893,P48058;Q1WWK6,2
hsa:3742,P17658,2
hsa:3748,Q14003,2
hsa:3750,Q9NSA2,2
hsa:3754,Q9H3M0,2
hsa:3755,Q86Y85;Q9UIX4,2
hsa:3760,P48549,2
hsa:3762,A0A5J6E2W8;P48544,2
hsa:3764,Q15842,2
hsa:3766,P78508,2
hsa:3768,Q14500,2
hsa:3769,O60928,2
hsa:3772,Q99712,2
hsa:3773,Q9NPI9,2
hsa:3779,Q16558,2
hsa:3787,A2RUL8;Q96KK3,2
hsa:3788,Q9ULS6,2
hsa:3790,Q9BQ31,2
hsa:57657,Q9P1Z3,2
hsa:60598,Q9H427,2
hsa:7881,Q14722,2
hsa:89822,Q96T54,2
hsa:93107,Q32MC1;Q547S7;Q8TDN1,2
hsa:3746,P48547,2
hsa:3757,Q12809;Q15BH2,2
hsa:782,Q02641,2
hsa:5310,P98161,2
hsa:2899,Q13003,2
hsa:2900,A0A8D9PH79;B2RAP6;Q16099,2
hsa:2901,Q16478,2
hsa:3784,P51787;Q96AI9,2
hsa:6096,A0A1L4FMK7;Q92753,2
hsa:108,Q08462;Q71UM8,1
hsa:109,O60266,1
hsa:111,A0A384P5Q5;B7Z2C7;O95622,1
hsa:112,O43306,1
hsa:113,P51828;Q86YI0,1
hsa:114,A0A0K0K1K3;P40145;Q4F7X0,1
hsa:115,O60503,1
hsa:196883,Q8NFM4,1
hsa:1610,A0A024RBI1;P14920,1
hsa:1728,P15559,1
hsa:2232,A0A0A0MT64;P22570,1
hsa:2639,Q92947,1
hsa:27034,Q9UKU7,1
hsa:2936,P00390;V9HW90,1
hsa:34,A0A0S2Z366;P11310,1
hsa:35,E5KSD5;P16219,1
hsa:3712,A0A0A0MT83;A0ACM8RFH8;P26440,1
hsa:4835,B3KPX6;P16083,1
hsa:7498,P47989,1
hsa:5351,Q02809,1
hsa:3141,P50747,1
hsa:32,O00763,1
hsa:64087,A0A140VK29;Q9HCC0,1
hsa:686,P43251,1
hsa:3034,P42357,1
hsa:5625,O43272,1
hsa:50,Q99798,1
hsa:4329,A0A024R6G4;Q02252,1
hsa:57176,A0A0G2JH62;B4DG77;B4E0K6;Q5ST30,1
hsa:327,P13798,1
hsa:5444,P27169,1
hsa:5445,Q15165,1
hsa:1363,A0A384N679;P16870,1
hsa:3376,P41252,1
hsa:2356,Q05932,1
hsa:51601,Q9Y234,1
hsa:53,P11117,1
hsa:93650,Q9BZG2,1
hsa:390956,,1
hsa:51645,Q9Y3C6,1
hsa:53938,A0A024R3V4;Q9H2H8,1
hsa:5478,P62937;V9HWF5,1
hsa:5479,P23284,1
hsa:5481,E5KN55;Q08752,1
hsa:85313,Q8WUA2,1
hsa:1990,Q9UNI1,1
hsa:84171,Q96JB6,1
hsa:84695,P58215,1
hsa:5321,P47712,1
hsa:64902,Q9BYV1,1
hsa:9945,A0A0S2Z4X9;B3KMR8;O94808,1
hsa:3291,P80365,1
hsa:9641,Q14164,1
hsa:57665,Q53RX3;Q9HBH5,1
hsa:84618,Q9BXI3,1
hsa:472,Q13315,1
hsa:7084,O00142;Q8IZR3,1
hsa:2280,P62942;Q0VDC6,1
hsa:4953,P11926,1
hsa:326625,Q96EY8,1
hsa:4548,Q99707,1
hsa:4552,Q9UBK8,1
hsa:4594,A0A024RD82;B2R6K1;P22033,1
hsa:3283,P14060,1
hsa:25796,A0A0K0K1K7;O95336,1
hsa:26279,Q9UNK4,1
hsa:3991,A8K8W7;Q05469,1
hsa:50487,Q9NZ20,1
hsa:5050,A0A024R0L6;Q15102,1
hsa:5051,Q99487,1
hsa:51365,Q53H76,1
hsa:5322,P39877,1
hsa:64600,Q9BZM2,1
hsa:81579,Q542Y6;Q9BZM1,1
hsa:8398,O60733,1
hsa:9563,O95479,1
hsa:10720,O75310,1
hsa:10941,P0DTE4,1
hsa:54490,Q9BY64,1
hsa:54575,Q5DT02;Q9HAW8,1
hsa:54576,Q5DSZ6;Q9HAW9,1
hsa:54577,Q5DSZ7;Q9HAW7,1
hsa:54578,P19224;Q5DSZ8,1
hsa:54579,P35504;Q5DSZ9,1
hsa:54600,O60656;Q5DSZ5,1
hsa:54657,P22310,1
hsa:54658,P22309;Q5DT03,1
hsa:54659,P35503;Q5DT01,1
hsa:7363,P06133,1
hsa:7364,P16662,1
hsa:7365,P36537,1
hsa:7366,P54855,1
hsa:7367,O75795,1
hsa:79799,Q6UWM9,1
hsa:11330,Q99895,1
hsa:279,P04746;Q53F26,1
hsa:10188,Q07912,1
hsa:130399,Q8NER5,1
hsa:1445,A8K3B6;B2R6Q4;P41240,1
hsa:2185,Q14289,1
hsa:2241,P16591;W0S0X4,1
hsa:2242,P07332,1
hsa:25,P00519;Q59FK4,1
hsa:2534,P06241,1
hsa:29941,Q6P5Z2,1
hsa:3055,P08631,1
hsa:3702,Q08881,1
hsa:3716,P23458;Q6P669,1
hsa:3717,O60674,1
hsa:3718,P52333,1
hsa:3932,A0A0S2Z3Y8;P06239,1
hsa:4067,A8K379;P07948;Q6NUK7,1
hsa:4145,F1T0G6;P42679,1
hsa:55359,Q6J9G0,1
hsa:5604,A4QPA9;Q02750,1
hsa:5605,P36507,1
hsa:5606,P46734;Q6FI23,1
hsa:5607,Q13163,1
hsa:5608,A8K3Y2;P52564,1
hsa:5747,Q05397,1
hsa:613,P11274,1
hsa:6416,P45985,1
hsa:657,P36894,1
hsa:658,O00238,1
hsa:660,P51813,1
hsa:6714,P12931,1
hsa:6725,Q9H3Y6,1
hsa:695,A0A8Q3WKL1;Q06187;Q5JY90,1
hsa:7006,P42680,1
hsa:7046,B4DXN7;P36897;Q5T7S2,1
hsa:7294,P42681,1
hsa:7297,P29597,1
hsa:7525,P07947,1
hsa:7535,P43403,1
hsa:90,D3DPA4;Q04771,1
hsa:9088,Q99640,1
hsa:91,P36896,1
hsa:93,Q13705,1
hsa:94,A0A0S2Z310;P37023,1
hsa:2135,Q9UBQ6,1
hsa:2159,P00742;Q5JVE7,1
hsa:5422,P09884,1
hsa:1991,P08246,1
hsa:1376,A0A140VK13;P23786,1
hsa:54677,Q9UKG9,1
hsa:1800,A0A140VJI3;P16444,1
hsa:2180,A8K9T3;P33121,1
hsa:270,P23109,1
hsa:55902,Q6DKJ3;Q9NR19,1
hsa:1017,P24941,1
hsa:1018,Q00526,1
hsa:1019,P11802,1
hsa:1020,A0A090N7W4;Q00535,1
hsa:1021,Q00534,1
hsa:1022,A0A0S2Z3F9;P50613,1
hsa:1024,P49336,1
hsa:1025,P50750,1
hsa:23097,Q9BWU1,1
hsa:4281,O15344,1
hsa:8558,B7Z537;Q15131,1
hsa:983,P06493,1
hsa:5972,P00797,1
hsa:4759,Q9Y3R4,1
hsa:1056,B4DSX9;O75612;P19835;Q86SR3,1
hsa:3988,P38571,1
hsa:5407,P54315,1
hsa:5408,A0AAG2UV77;P54317,1
hsa:8513,P07098,1
hsa:4482,Q9UJ68,1
hsa:338442,Q8TDS4,1
hsa:9052,Q8NFJ5,1
hsa:64805,A8K7T1;Q9H244,1
hsa:134,P30542,1
hsa:135,B3KVQ4;P29274;X5DNB4,1
hsa:56413,B4E292;Q9NPC1,1
hsa:6751,P30872;Q86SW9,1
hsa:10161,B3KVQ5;P43657,1
hsa:2846,Q99677,1
hsa:5029,P41231,1
hsa:5030,P51582,1
hsa:5031,Q15077,1
hsa:5032,Q96G91,1
hsa:9934,A5JUU3;Q15391,1
hsa:1129,A4D1Q0;P08172;Q6SL56;Q86SJ1,1
hsa:2914,A1L4F9;Q14833,1
hsa:2917,B2R693;Q14831;Q59G95,1
hsa:4986,P41145,1
hsa:4988,G8XRH5;P35372,1
hsa:1909,P25101,1
hsa:1812,P21728,1
hsa:1813,P14416,1
hsa:2918,O00222,1
hsa:3356,P28223,1
hsa:9283,O60883,1
hsa:5724,P25105,1
hsa:23620,O95665,1
hsa:7201,P34981,1
hsa:6753,P32745,1
hsa:6755,P35346,1
hsa:3274,P25021,1
hsa:5729,Q13258,1
hsa:11254,B2R8J1;Q9UN76,1
hsa:6534,Q99884,1
hsa:11280,Q9UI33,1
hsa:2902,Q05586,1
hsa:2903,Q12879;Q547U9,1
hsa:1080,P13569,1
hsa:22953,A0ACM8Q8Y1;Q32MC3;Q9UBL9,1
hsa:5023,P51575,1
hsa:5025,Q99571,1
hsa:5026,Q93086,1
hsa:5027,Q99572,1
hsa:9127,O15547,1
hsa:56660,Q9HB15,1
hsa:3775,O00180,1
hsa:40,Q16515,1
hsa:41,A8K1U5;P78348,1
hsa:57192,Q9GZU1,1
hsa:6337,P37088,1
hsa:6338,B2R812;P51168,1
hsa:6340,A5X2V1;P51170,1
hsa:7225,Q9Y210,1
hsa:1140,P11230,1
hsa:1144,Q07001,1
hsa:55503,Q9H1D0,1
hsa:784,P54284,1
hsa:785,O00305,1
hsa:8989,O75762,1
hsa:3756,O95259,1
hsa:3776,F6VUL8;O95069;Q6ZW95,1
hsa:54207,P57789,1
hsa:10060,O60706,1
hsa:1141,P17787;Q5SXY3,1
hsa:1181,P51788,1
hsa:3752,Q9UK17,1
hsa:2103,A0A2R8Y491,1
hsa:6095,P35398,1
